Amount,Tip,Partysize,flag_extreme_tip,flag_extreme_partysize,Gender_Encoded,Smoker_Encoded,Day_Sat,Day_Sun,Day_Thur,Time_Lunch
10.29,2.88,2.0,False,False,0,0,False,True,False,False
34.81,5.2,4.0,False,False,0,0,False,True,False,False
9.94,1.56,2.0,False,False,1,0,False,True,False,False
25.56,4.34,4.0,False,False,1,0,False,True,False,False
19.49,3.51,2.0,False,False,1,0,False,True,False,False
38.01,3.0,4.0,False,False,1,1,True,False,False,False
26.41,1.5,2.0,False,False,0,0,True,False,False,False
11.24,1.76,2.0,False,False,1,1,True,False,False,False
48.27,6.73,4.0,True,False,1,0,True,False,False,False
20.29,3.21,2.0,False,False,1,1,True,False,False,False
13.81,2.0,2.0,False,False,1,1,True,False,False,False
11.02,1.98,2.0,False,False,1,1,True,False,False,False
18.29,3.76,4.0,False,False,1,1,True,False,False,False
17.59,2.64,3.0,False,False,1,0,True,False,False,False
20.08,3.15,3.0,False,False,1,0,True,False,False,False
16.45,2.47,2.0,False,False,0,0,True,False,False,False
3.07,1.0,1.0,False,False,0,1,True,False,False,False
20.23,2.01,2.0,False,False,1,0,True,False,False,False
15.01,2.09,2.0,False,False,1,1,True,False,False,False
12.02,1.97,2.0,False,False,1,0,True,False,False,False
17.07,3.0,3.0,False,False,0,0,True,False,False,False
26.86,3.14,2.0,False,False,0,1,True,False,False,False
25.28,5.0,2.0,False,False,0,1,True,False,False,False
14.73,2.2,2.0,False,False,0,0,True,False,False,False
10.51,1.25,2.0,False,False,1,0,True,False,False,False
17.92,3.08,2.0,False,False,1,1,True,False,False,False
27.2,4.0,4.0,False,False,1,0,False,False,True,True
22.76,3.0,2.0,False,False,1,0,False,False,True,True
17.29,2.71,2.0,False,False,1,0,False,False,True,True
19.44,3.0,2.0,False,False,1,1,False,False,True,True
16.66,3.4,2.0,False,False,1,0,False,False,True,True
10.07,1.83,1.0,False,False,0,0,False,False,True,True
32.68,5.0,2.0,False,False,1,1,False,False,True,True
15.98,2.03,2.0,False,False,1,0,False,False,True,True
34.83,5.17,4.0,False,False,0,0,False,False,True,True
13.03,2.0,2.0,False,False,1,0,False,False,True,True
18.28,4.0,2.0,False,False,1,0,False,False,True,True
24.71,5.85,2.0,True,False,1,0,False,False,True,True
21.16,300.0,2.0,True,False,1,0,False,False,True,True
28.97,3.0,2.0,False,False,1,1,False,False,False,False
22.49,3.5,2.0,False,False,1,0,False,False,False,False
5.75,1.0,2.0,False,False,0,1,False,False,False,False
16.32,4.3,2.0,False,False,0,1,False,False,False,False
22.75,3.25,2.0,False,False,0,0,False,False,False,False
40.17,4.73,4.0,False,False,1,1,False,False,False,False
27.28,4.0,2.0,False,False,1,1,False,False,False,False
12.03,1.5,2.0,False,False,1,1,False,False,False,True
21.01,3.0,2.0,False,False,1,1,False,False,False,False
12.46,1.5,2.0,False,False,1,0,False,False,False,False
11.35,2.5,2.0,False,False,0,1,False,False,False,False
15.38,3.0,2.0,False,False,0,1,False,False,False,False
44.3,2.5,3.0,False,False,0,1,True,False,False,False
22.42,3487.0,2.0,True,False,0,1,True,False,False,False
20.92,4.08,2.0,False,False,0,0,True,False,False,False
15.36,1.64,2.0,False,False,1,1,True,False,False,True
20.49,4.06,2.0,False,False,1,1,True,False,False,False
25.21,4.29,2.0,False,False,1,1,True,False,False,False
18.24,3.76,2.0,False,False,1,0,True,False,False,False
14.31,4.0,2.0,False,False,0,1,True,False,False,False
14.0,3.0,2.0,False,False,1,0,True,False,False,False
7.25,1.0,1.0,False,False,0,0,True,False,False,False
38.07,4.0,3.0,False,False,1,1,False,True,False,False
23.95,2.55,2.0,False,False,1,0,False,True,False,False
25.71,4.0,3.0,False,False,0,0,False,True,False,False
17.31,3.5,2.0,False,False,0,0,True,False,False,False
29.93,5.07,4.0,False,False,1,0,False,True,False,False
10.65,1.5,2.0,False,False,0,0,False,False,True,True
12.43,1.8,2.0,False,False,0,0,False,False,True,True
11.69,2.31,2.0,False,False,1,0,False,False,True,True
13.42,1.68,2.0,False,False,0,0,False,False,True,True
14.26,2.5,2.0,False,False,1,0,False,False,True,True
15.95,2.0,2.0,False,False,1,0,False,False,True,True
12.48,2.52,2.0,False,False,0,0,False,False,True,True
29.8,4.2,26.0,False,True,0,0,False,False,True,True
8.52,1.48,2.0,False,False,1,0,False,False,True,True
14.52,2.0,2.0,False,False,0,0,False,False,True,True
11.38,2.0,2.0,False,False,0,0,True,False,False,True
22.82,2.18,3.0,False,False,1,0,False,False,True,True
19.08,1.5,2.0,False,False,1,0,False,False,True,True
20.27,2.83,2.0,False,False,0,0,False,False,True,True
11.17,1.5,2.0,False,False,0,0,False,False,True,True
12.26,2.0,2.0,False,False,0,0,False,False,True,True
18.26,3.25,2.0,False,False,0,0,False,False,True,True
8.51,1.25,2.0,False,False,0,0,False,False,True,True
10.33,2.0,2.0,False,False,0,0,False,False,True,True
14.15,2.0,2.0,False,False,0,0,False,False,True,True
16.0,2.0,2.0,False,False,1,1,False,False,True,True
13.16,2.75,2.0,False,False,0,0,False,False,True,True
17.47,3.5,2.0,False,False,0,0,False,False,True,True
34.3,6.7,6.0,True,True,1,0,False,False,True,True
41.19,5.0,5.0,False,True,1,0,False,False,True,True
27.05,5.0,6.0,False,True,0,0,False,False,True,True
16.43,2.3,2.0,False,False,0,0,False,False,True,True
8.35,1.5,2.0,False,False,0,0,False,False,True,True
18.64,1.36,3.0,False,False,0,0,False,False,True,True
11.87,1.63,22.0,False,True,0,0,False,False,True,True
9.78,1.73,2.0,False,False,1,0,False,False,True,True
7.51,2.0,2.0,False,False,1,0,False,False,True,True
14.07,2.5,2.0,False,False,1,0,False,True,False,False
13.13,2.0,2.0,False,False,1,0,False,True,False,False
17.26,2.74,3.0,False,False,1,0,False,True,False,False
24.55,2.0,4.0,False,False,1,0,False,True,False,False
19.77,2.0,4.0,False,False,1,0,False,True,False,False
29.85,5.14,5.0,False,True,0,0,False,True,False,False
48.17,5.0,6.0,False,True,1,0,False,True,False,False
25.0,3.75,4.0,False,False,0,0,False,True,False,False
13.39,2.61,2.0,False,False,0,0,False,True,False,False
16.49,2.0,4.0,False,False,1,0,False,True,False,False
21.5,3.5,4.0,False,False,1,0,False,True,False,False
12.66,2.5,2.0,False,False,1,0,False,True,False,False
16.21,2.0,3.0,False,False,0,0,False,True,False,False
13.81,2.0,2.0,False,False,1,0,False,True,False,False
17.51,3.0,2.0,False,False,0,1,False,True,False,False
24.52,3.48,3.0,False,False,1,0,False,True,False,False
20.76,2.24,2.0,False,False,1,0,False,True,False,False
31.71,4.5,4.0,False,False,1,0,False,True,False,False
10.59,1.61,2.0,False,False,0,1,True,False,False,False
10.63,2.0,2.0,False,False,0,1,True,False,False,False
50.81,10.0,3.0,True,False,1,1,True,False,False,False
117.81,3.16,2.0,False,False,1,1,True,False,False,False
7.25,2.88,2.0,False,False,1,1,False,True,False,False
31.85,3.18,2.0,False,False,1,1,False,True,False,False
16.82,4.0,2.0,False,False,1,1,False,True,False,False
32.9,3.11,2.0,False,False,1,1,False,True,False,False
17.89,2.0,0.2,False,True,1,1,False,True,False,False
14.48,2.0,2.0,False,False,1,1,False,True,False,False
96.6,4.0,2.0,False,False,0,1,False,True,False,False
34.63,3.55,2.0,False,False,1,1,False,True,False,False
34.65,3.68,4.0,False,False,1,1,False,True,False,False
23.33,5.65,2.0,False,False,1,1,False,True,False,False
45.35,3.5,3.0,False,False,1,1,False,True,False,False
23.17,6.5,4.0,True,False,1,1,False,True,False,False
40.55,3.0,2.0,False,False,1,1,False,True,False,False
20.69,5.0,5.0,False,True,1,0,False,True,False,False
20.9,3.5,3.0,False,False,0,0,False,True,False,False
30.46,2.0,5.0,False,True,1,1,False,True,False,False
18.15,3.5,3.0,False,False,0,1,False,True,False,False
23.1,4.0,3.0,False,False,1,1,False,True,False,False
15.69,1.5,2.0,False,False,1,1,False,True,False,False
19.81,4.19,2.0,False,False,0,1,False,False,True,True
28.44,2.56,2.0,False,False,1,1,False,False,True,True
15.48,2.02,12.0,False,True,1,1,False,False,True,True
16.58,4.0,2.0,False,False,1,1,False,False,True,True
7.56,1.44,2.0,False,False,1,0,False,False,True,True
10.34,2.0,2.0,False,False,1,1,False,False,True,True
43.11,5.0,4.0,False,False,0,1,False,False,True,True
13.0,2.0,2.0,False,False,0,1,False,False,True,True
13.51,2.0,2.0,False,False,1,1,False,False,True,True
18.71,4.0,3.0,False,False,1,1,False,False,True,True
12.74,2.01,2.0,False,False,0,1,False,False,True,True
13.0,2.0,2.0,False,False,0,1,False,False,True,True
16.4,2.5,2.0,False,False,0,1,False,False,True,True
20.53,4.0,4.0,False,False,1,1,False,False,True,True
16.47,3.23,3.0,False,False,0,1,False,False,True,True
26.59,3.41,3.0,False,False,1,1,True,False,False,False
38.73,3.0,4.0,False,False,1,1,True,False,False,False
24.27,2.03,2.0,False,False,1,1,True,False,False,False
12.76,2.23,2.0,False,False,0,1,True,False,False,False
30.06,2.0,3.0,False,False,1,1,True,False,False,False
25.89,5.16,4.0,False,False,1,1,True,False,False,False
48.33,9.0,4.0,True,False,1,0,True,False,False,False
13.27,2.5,2.0,False,False,0,1,True,False,False,False
28.17,6.5,3.0,True,False,0,1,True,False,False,False
12.9,1.1,2.0,False,False,0,1,True,False,False,False
28.15,3.0,5.0,False,True,1,1,True,False,False,False
11.59,1.5,2.0,False,False,1,1,True,False,False,False
7.74,1.44,2.0,False,False,1,1,True,False,False,False
12.16,2.2,2.0,False,False,1,1,False,False,False,True
13.42,3.48,2.0,False,False,0,1,False,False,False,True
8.58,1.92,1.0,False,False,1,1,False,False,False,True
15.98,3.0,3.0,False,False,0,0,False,False,False,True
13.42,1.58,2.0,False,False,1,1,False,False,False,True
16.27,2.5,2.0,False,False,0,1,False,False,False,True
10.09,2.0,2.0,False,False,0,1,False,False,False,True
20.45,3.0,4.0,False,False,1,0,True,False,False,False
13.28,2.72,2.0,False,False,1,0,True,False,False,False
22.12,288.0,2.0,True,False,0,0,False,True,False,False
24.01,2.0,4.0,False,False,1,1,True,False,False,False
15.69,3.0,3.0,False,False,1,1,True,False,False,False
11.61,3.39,2.0,False,False,1,0,True,False,False,False
10.77,1.47,2.0,False,False,1,0,True,False,False,False
15.53,3.0,2.0,False,False,1,1,False,True,False,False
10.07,1.25,2.0,False,False,1,0,True,False,False,False
12.6,1.0,2.0,False,False,1,1,True,False,False,False
32.83,1.17,2.0,False,False,1,1,True,False,False,False
35.83,4.67,3.0,False,False,0,0,True,False,False,False
29.03,5.92,38.0,True,True,1,0,True,False,False,False
27.18,2.0,2.0,False,False,0,1,False,True,False,False
22.67,2.0,2.0,False,False,1,1,True,False,False,False
17.82,1.75,2.0,False,False,1,0,True,False,False,False
18.78,3.0,2.0,False,False,0,0,False,False,True,True
19.29,3.23,3.0,False,False,1,1,False,False,True,False
26.34,4.12,4.0,False,False,0,0,True,False,False,True
24.21,3.19,2.0,False,False,0,0,False,True,False,False
18.23,2.18,3.0,False,False,0,1,True,False,False,True
20.5,2.1,2.0,False,False,1,1,True,False,False,False
30.87,3.69,29.0,False,True,1,1,False,True,False,True
24.56,2.88,2.0,False,False,0,0,False,True,False,True
13.69,2.0,2.0,False,False,0,1,False,False,True,True
17.89,2.98,3.0,False,False,1,1,False,False,True,False
22.89,3.0,2.0,False,False,0,0,False,False,True,False
19.1,3.1,2.0,False,False,1,0,True,False,False,True
9.87,1.68,1.0,False,False,0,0,True,False,False,True
19.65,2.89,2.0,False,False,1,1,False,True,False,False
25.68,3.87,3.0,False,False,0,1,True,False,False,True
33.87,4.0,4.0,False,False,0,0,False,True,False,True
40.45,4.85,4.0,False,False,1,1,False,False,True,False
33.76,3.29,3.0,False,False,0,0,True,False,False,False
29.87,3.7,45.0,False,True,0,0,False,True,False,False
18.98,1.8,2.0,False,False,0,1,False,True,False,True
8.88,1.5,1.0,False,False,1,1,False,True,False,False
13.89,2.38,2.0,False,False,0,0,False,False,False,True
29.99,3.39,3.0,False,False,0,0,False,False,False,False
43.8,4.39,3.0,False,False,1,1,True,False,False,True
8.9,1.5,1.0,False,False,1,0,False,False,False,True
23.91,2.65,2.0,False,False,1,1,False,False,False,False
33.8,3.0,3.0,False,False,0,0,False,False,False,False
40.9,4.67,3.0,False,False,0,1,True,False,False,True
22.66,2.5,3.0,False,False,1,0,False,True,False,True
29.76,3.0,3.0,False,False,0,0,False,True,False,True
15.0,2.5,2.0,False,False,0,1,True,False,False,False
22.5,2.6,3.0,False,False,1,0,False,False,True,True
33.6,3.0,2.0,False,False,1,0,False,False,False,False
25.65,2.56,2.0,False,False,0,1,True,False,False,True
30.0,3.0,3.0,False,False,0,0,False,True,False,True
16.7,1.5,2.0,False,False,1,1,False,False,True,False
25.55,2.3,3.0,False,False,0,0,False,False,False,True
27.79,2.59,2.0,False,False,0,0,True,False,False,False
30.3,2.15,3.0,False,False,1,1,False,False,True,False
10.1,1.8,2.0,False,False,0,0,False,False,True,True
16.68,1.9,2.0,False,False,0,1,False,True,False,False
16.68,1.9,2.0,False,False,0,1,False,True,False,False
19.9,2.0,2.0,False,False,1,1,False,True,False,True
30.35,3.3,3.0,False,False,0,0,True,False,False,True
44.34,4.1,4.0,False,False,1,1,False,True,False,False
23.45,2.4,2.0,False,False,1,0,True,False,False,True
17.7,2.35,2.0,False,False,0,0,False,False,True,True
24.5,2.69,3.0,False,False,1,0,False,False,False,True
18.0,1.9,2.0,False,False,0,1,False,False,True,False
27.8,2.59,3.0,False,False,1,1,False,False,False,True
35.6,13.55,3.0,True,False,1,0,False,False,False,False
29.9,2.1,3.0,False,False,0,0,False,False,False,True
16.57,1.79,2.0,False,False,0,1,False,True,False,False
8.88,1.0,1.0,False,False,1,1,False,False,False,True
20.66,1.9,2.0,False,False,1,0,False,False,True,False
44.4,3.89,3.0,False,False,0,0,False,True,False,True
32.56,2.96,3.0,False,False,0,1,True,False,False,True
27.8,2.59,3.0,False,False,1,1,False,False,False,True
35.6,3.55,3.0,False,False,1,0,False,False,False,False
20.66,1.9,2.0,False,False,1,0,False,False,True,False
13.55,2.89,3.0,False,False,1,0,False,True,False,False
11.43,1.47,2.0,False,False,1,0,False,True,False,True
14.56,3.45,3.0,False,False,1,1,False,True,False,False
10.07,11.25,2.0,True,False,1,0,True,False,False,False
22.01,3.23,2.0,False,False,0,0,False,False,False,True
21.34,2.98,3.0,False,False,1,1,False,False,True,False
12.89,3.0,2.0,False,False,0,0,False,False,True,False
19.65,3.1,2.0,False,False,1,0,True,False,False,True
1.01,1.68,1.0,False,False,0,0,True,False,False,True
19.65,2.09,2.0,False,False,1,1,False,True,False,False
21.56,3.66,3.0,False,False,0,1,True,False,False,True
28.87,3.67,3.0,False,False,0,0,False,True,False,True
22.01,4.0,4.0,False,False,1,1,False,False,True,False
19.76,2.21,3.0,False,False,1,0,True,False,False,False
19.09,3.0,3.0,False,False,0,0,False,False,True,False
23.9,3.98,3.0,False,False,1,1,False,False,True,False
25.89,3.89,3.0,False,False,0,0,True,False,False,True
20.09,20.96,4.0,True,False,0,0,False,True,False,False
14.56,2.78,2.0,False,False,0,1,True,False,False,True
19.23,2.01,3.0,False,False,0,0,True,False,False,True
28.45,2.45,2.0,False,False,0,0,False,False,True,False
33.45,4.67,3.0,False,False,0,1,True,False,False,True
24.67,2.5,3.0,False,False,1,0,False,True,False,True
26.9,3.0,3.0,False,False,0,0,False,True,False,True
17.6,2.5,2.0,False,False,0,1,True,False,False,False
21.0,2.6,3.0,False,False,1,0,False,False,True,True
30.15,3.0,2.0,False,False,1,0,False,False,False,False
29.35,2.56,2.0,False,False,0,1,True,False,False,True
31.5,3.0,3.0,False,False,0,0,False,True,False,True
14.69,1.5,2.0,False,False,1,1,False,False,True,False
24.0,2.3,3.0,False,False,0,0,False,False,False,True
26.35,2.59,2.0,False,False,0,0,False,True,False,False
16.65,2.94,3.0,False,False,0,0,False,True,False,False
21.56,3.34,3.0,False,False,1,1,True,False,False,True
25.68,2.78,3.0,False,False,0,0,False,True,False,True
22.33,3.9,4.0,False,False,1,1,False,False,True,False
18.67,2.09,3.0,False,False,0,0,True,False,False,False
18.09,3.45,3.0,False,False,0,0,False,False,True,True
21.67,3.0,4.0,False,False,1,1,False,False,True,False
27.23,2.9,3.0,False,False,1,0,False,False,False,True
18.89,22.23,5.0,True,True,1,0,False,True,False,True
16.37,3.21,2.0,False,False,0,1,True,False,False,True
19.12,2.22,4.0,False,False,0,0,False,True,False,True
18.99,3.3,2.0,False,False,0,0,False,False,True,True
6.69,0.01,22.0,False,True,1,0,False,False,True,False
21.37,1.0,2.0,False,False,0,0,False,True,False,True
13.28,2.22,10.0,False,True,0,1,True,False,False,True
7.78,1.99,1.0,False,False,0,0,False,False,True,True
9.96,2.87,4.0,False,False,0,1,False,False,False,False
18.38,3.01,3.0,False,False,0,0,True,False,False,False
16.69,2.68,3.0,False,False,1,0,False,True,False,True
22.38,3.01,2.0,False,False,1,0,False,True,False,True
24.55,2.0,2.0,False,False,1,0,True,False,False,True
20.0,12.9,5.0,True,True,0,1,False,True,False,False
27.56,3.59,4.0,False,False,0,1,False,True,False,False
